a_sum,ak_sum,predicted,observed_topsis
-0.20270372870012437,-0.09832638461651613,False,False
-0.19857064922903156,-0.1030745693632019,False,False
-0.18630251248695634,-0.09888783796635084,False,False
0.1305901955896472,0.1902457329568356,False,False
-0.2074690760770399,-0.11148924468370786,False,False
-0.19988069530005337,-0.10482231233530362,False,False
-0.22680073569325518,-0.1179250579608752,False,False
-0.23741059677223633,-0.12352870969477112,False,False
-0.217806040207496,-0.11396442623518602,False,False
-0.22457647670231942,-0.11910986610424533,False,False
-0.15715646263679342,-0.07160747169809588,False,False
-0.21014951594777623,-0.11025499410585259,False,False
-0.2004915249042415,-0.10508600164316569,False,False
-0.20096001479428277,-0.09750773517619415,False,False
-0.18922263742995543,-0.0897381998970095,False,False
-0.15913019889921326,-0.05916336864160683,False,False
-0.15206453934309966,-0.05207807327608405,False,False
-0.19778269943092494,-0.10441878594483239,False,False
-0.1866274715441933,-0.09530350696634735,False,False
-0.17593315576440263,-0.08307282297647817,False,False
-0.22389728488929278,-0.11832268298266466,False,False
-0.20448020457737054,-0.1073367677497212,False,False
-0.16859500559147944,-0.07060034563077595,False,False
-0.6217042634737009,-0.2975767597953352,False,False
-0.2048621547798843,-0.10698767296117591,False,False
-0.222481040337481,-0.1167044190049371,False,False
-0.220690941310463,-0.11520917169004127,False,False
-0.22584119793717058,-0.11773615107961134,False,False
-0.1953511062255941,-0.10263536901104363,False,False
-0.1746598438515758,-0.07996459650226902,False,False
-0.19818887954911044,-0.1013841157330665,False,False
-0.21465253220363031,-0.11249331557646793,False,False
0.4221367548777425,0.5069451079768653,False,False
-0.23358203474197042,-0.1225316778796987,False,False
-0.18931848934472725,-0.10010028188132142,False,False
-0.21667076856208223,-0.113035645514194,False,False
-0.13354734821693107,-0.044800220504795984,False,False
-0.18259929980015843,-0.08597158597522322,False,False
-0.20114077484998663,-0.1053999183543868,False,False
-0.1925924616394672,-0.10083135084852445,False,False
-0.22372433391352653,-0.11689567593581533,False,False
-0.21227869886064116,-0.11144733843159915,False,False
-0.20792870194264082,-0.10901240630754902,False,False
