n_alt,n_crit,kappa_max,kappa_min,nu,log_nu,delta_w,tau_wsm,rho_wsm,identical_wsm,tau_topsis,rho_topsis,identical_topsis,tau_topsis_minmax,rho_topsis_minmax,identical_topsis_minmax
8,3,0.6361945144119053,0.06056977215409044,10.503498556720885,1.0213339800990013,0.42390764226090627,0.8571428571428571,0.9523809523809523,False,0.8571428571428571,0.9523809523809523,False,0.9285714285714286,0.9761904761904762,False
4,5,0.7719021706439704,0.10258747731460974,7.5243313398692715,0.8764679117997206,0.2690584583248924,1.0,1.0,True,1.0,1.0,True,0.6666666666666666,0.8,False
4,5,0.6227491894064541,0.19447962627641222,3.202130738970795,0.505439059642762,0.1877552826292072,0.0,0.19999999999999996,False,0.0,0.19999999999999996,False,1.0,1.0,True
5,3,0.5462080325282336,0.4097748457379021,1.3329467101459496,0.12481278710915106,0.02916288723863265,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
8,5,0.279024834856594,0.0626973045291253,4.450348176013308,0.6483939896339904,0.2486157037267484,0.7857142857142857,0.9285714285714286,False,0.42857142857142855,0.7142857142857143,False,0.8571428571428571,0.9523809523809523,False
6,5,0.251851212917219,0.0416460722481849,6.047418143307579,0.7815699985468693,0.23775855761697517,0.4666666666666667,0.6,False,0.2,0.2571428571428571,False,0.4666666666666667,0.5428571428571429,False
5,5,0.47249141737951783,0.05742680559402752,8.227715480319699,0.9152792651005173,0.02915365838275773,1.0,1.0,True,0.8,0.9,False,0.8,0.9,False
8,4,0.6039980130828746,0.18826702018792862,3.208198719439836,0.5062612611343414,0.25140629428234906,0.07142857142857142,0.1428571428571429,False,0.07142857142857142,0.2142857142857143,False,0.7857142857142857,0.9047619047619048,False
5,5,0.7331071925655164,0.30946882105600987,2.3689210113689114,0.3745505799720157,0.14139873899583544,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
4,4,0.5177153581327174,0.08997943708235324,5.753707457106308,0.7599477767419558,0.11349145480703685,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
4,4,0.7681350780080198,0.4383407046975227,1.7523699482490902,0.2436257967650394,0.05990607834502805,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
4,4,0.6955026710284025,0.11257099664227958,6.178346925650351,0.7908722910915824,0.2920960148558301,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
5,4,0.7956350358004104,0.11925395544700666,6.671770616005253,0.8242411062874054,0.41273126949699146,0.4,0.4,False,0.4,0.4,False,1.0,1.0,True
4,3,0.7875687181733279,0.43711517166909386,1.8017418959956246,0.255692577334895,0.025330698597197682,1.0,1.0,True,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False
5,5,0.7968086848172177,0.5946157813040592,1.3400395850046003,0.1271176276895396,0.04724085261385927,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
4,4,0.4696897512324352,0.19899545412064293,2.360303924055074,0.37296792841149434,0.10345191435551014,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False,1.0,1.0,True
8,5,0.5258060762880815,0.12337862668488113,4.261727419180718,0.6295856687166581,0.16933065339403833,0.7857142857142857,0.9047619047619048,False,0.6428571428571429,0.7619047619047619,False,0.9285714285714286,0.9761904761904762,False
